Region,Year,Forecast
K-0301 Oslo,2023,80667.63785049765
K-0301 Oslo,2024,82489.43611654213
K-0301 Oslo,2025,84068.93565260056
K-0301 Oslo,2026,85648.36691595768
K-0301 Oslo,2027,87227.80256249725
K-0301 Oslo,2028,88807.2379276317
K-0301 Oslo,2029,90386.67331083266
K-0301 Oslo,2030,91966.10869287373
K-1103 Stavanger,2023,19762.646649526134
K-1103 Stavanger,2024,20473.377548685545
K-1103 Stavanger,2025,21138.614753733174
K-1103 Stavanger,2026,21803.570157911214
K-1103 Stavanger,2027,22468.61793822186
K-1103 Stavanger,2028,23133.63543704371
K-1103 Stavanger,2029,23798.662862331825
K-1103 Stavanger,2030,24463.687033660626
K-1106 Haugesund,2023,6033.378359934628
K-1106 Haugesund,2024,6215.621640065372
K-1106 Haugesund,2025,6385.765740951081
K-1106 Haugesund,2026,6555.47887645373
K-1106 Haugesund,2027,6725.314006006351
K-1106 Haugesund,2028,6895.114602511044
K-1106 Haugesund,2029,7064.924974340021
K-1106 Haugesund,2030,7234.732579052552
K-1506 Molde,2023,6139.029714646899
K-1506 Molde,2024,6333.897180512939
K-1506 Molde,2025,6499.725899340495
K-1506 Molde,2026,6658.112010287303
K-1506 Molde,2027,6819.97502415288
K-1506 Molde,2028,6980.213761407323
K-1506 Molde,2029,7141.211298827061
K-1506 Molde,2030,7301.854353711678
K-1833 Rana,2023,4952.970925988278
K-1833 Rana,2024,4983.180526493005
K-1833 Rana,2025,5060.356882015993
K-1833 Rana,2026,5147.929154759633
K-1833 Rana,2027,5229.498646534428
K-1833 Rana,2028,5314.534247032016
K-1833 Rana,2029,5397.5684568840725
K-1833 Rana,2030,5481.758304033274
K-3005 Drammen,2023,16629.83457337989
K-3005 Drammen,2024,17044.7034982542
K-3005 Drammen,2025,17398.46661012873
K-3005 Drammen,2026,17746.780119063686
K-3005 Drammen,2027,18097.367674770805
K-3005 Drammen,2028,18447.00630102759
K-3005 Drammen,2029,18797.040902913697
